Usuario,Tag_pre,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,ICOGS_A,Riesgo
jzsoe,LAS,3,5,2,4,3,3,4,3,2,2,3,4,34,0
Haewon,1998,2,4,3,5,4,4,2,5,2,2,3,2,24,0
T1Nyuloi,Nashe,2,5,4,3,5,2,2,5,1,1,1,2,21,0
iPloxSB,1476,2,3,3,4,5,3,1,2,3,2,1,2,27,0
Willimerca,6666,1,4,5,5,5,4,1,4,1,2,2,1,17,0
TotooR2,LAS,2,4,4,5,4,4,2,3,3,1,1,2,23,0
JacquesLacan,1230,3,3,3,3,2,1,4,1,4,3,4,5,46,1
RJAV,1998,3,4,2,3,2,4,2,3,3,3,4,4,37,1
Nestornadoxs,LAS,2,3,3,2,2,2,5,4,3,4,5,3,42,1
Reish99,2001,1,4,4,4,5,5,2,5,3,1,2,1,19,0
MadLife,NCS,2,3,4,4,3,4,4,5,2,2,4,2,29,0
LoGoZ,LAS,1,4,5,4,4,5,1,5,1,1,1,1,15,0
SkeeLetor,LAS,3,5,4,3,2,3,2,4,1,2,2,1,26,0
Gekidou,512,4,5,3,4,4,5,1,4,2,3,1,3,25,0
regicida,LAS69,3,4,3,2,3,4,1,3,2,3,5,3,34,0
Bling Bling,lowie,2,4,5,5,4,4,3,5,2,1,2,1,20,0
Asa Mitaka,Kelly,5,1,2,4,1,3,4,1,5,3,4,4,49,1
Thom Merrilin,LAS,3,2,4,3,3,1,3,4,4,4,2,3,38,1
Thaizor,LAS,1,4,5,5,4,5,1,5,1,2,1,2,16,0
Pingu,SEES,5,1,3,3,3,2,3,3,4,5,4,5,47,1
SinverGWENza,Gwen,2,4,5,5,4,5,2,4,1,2,2,1,19,0
222369,222,2,4,3,5,3,2,3,5,3,3,2,2,29,0
Mewi,LAS,3,3,3,5,5,4,3,2,3,2,4,3,32,0
moko,1040,1,4,4,4,5,4,1,5,1,3,1,3,20,0
Barry Chopper,LAS,2,5,4,5,4,5,1,5,1,2,1,1,16,0
Matisinho,000,4,2,2,2,1,2,4,2,4,5,4,4,50,1
Amal2,LAS,3,3,3,3,2,4,1,2,2,3,2,1,31,0
Dsá,Meins,2,4,4,3,4,2,3,4,3,1,1,3,28,0
Takirø,弓の神7R,2,4,5,5,4,5,3,4,2,2,2,2,22,0
Teemomazos,PER,3,2,1,3,3,3,4,3,3,2,3,2,38,1
LoboAlfaKevin,LAS,2,4,5,5,4,4,2,5,2,1,2,4,22,0
TeShacølaCtM,LAS,5,2,2,3,4,3,4,4,2,2,2,5,38,1
Pirlo,ush,3,1,3,1,1,3,5,2,3,3,4,4,47,1
Dito,rey,1,3,4,4,5,4,1,5,3,3,3,1,23,0
ignaa42,LAS,2,4,5,5,4,5,2,2,1,1,1,2,20,0
Mvko,LAS,4,3,4,4,2,1,3,3,3,3,2,1,35,0
el prokilll,LAS,1,3,4,2,3,3,2,3,2,3,2,4,32,0
kenyu3,LAS,4,3,3,4,3,2,3,2,3,3,2,3,37,1
jalamee,LAS,2,4,4,4,4,4,2,4,3,3,2,2,26,0
Muerto,666,1,5,5,5,4,4,1,4,2,2,2,2,19,0
ySan97,f22b2,4,1,3,3,2,3,3,1,3,2,4,2,41,1
SOUL,JPN,2,5,4,3,4,4,2,5,1,3,1,3,23,0
Joa,GLHF,2,3,4,1,5,4,4,3,4,2,3,3,34,0
Sunmy,LAS,2,4,5,5,5,5,4,4,1,2,1,1,19,0
Felo,BEAR,1,4,4,4,4,5,1,5,1,2,1,2,18,0
77pablito,CAI,2,2,2,3,5,4,2,4,2,2,3,2,29,0
RP Glasman2,LAS,3,5,4,4,5,5,2,5,2,1,2,1,19,0
El Rey Henry,KING,1,4,5,5,5,4,1,5,1,1,4,2,18,0
ATC PØLPHOENIX,LAS1,2,4,4,4,5,3,2,4,1,2,3,3,25,0
Whiskas,Curru,1,5,5,4,4,4,1,4,2,2,2,2,20,0
Oticangi,PPP,2,4,3,3,3,5,1,5,2,2,3,2,25,0
RIP in peperonni,LAS,3,2,2,2,1,3,3,3,3,2,3,3,40,1
ZT4,LAS,2,5,5,2,5,5,2,5,2,2,2,1,20,0
sanzok,LAS,1,5,5,5,5,4,1,5,2,2,2,2,17,0
IlachOne,6381,3,4,4,4,3,5,2,5,1,2,1,3,23,0
Levhen,LAS,2,5,5,4,5,4,1,5,1,3,1,1,17,0
Saidpalao,AMPAY,4,2,2,2,5,3,4,3,3,3,3,4,40,1
ajinomen,9038,5,3,1,1,1,2,3,2,5,5,4,4,52,1
Lordans,6969,3,3,2,2,2,2,3,3,3,3,1,3,38,1
LIT KILLAH,412,1,3,1,4,3,2,4,1,4,1,4,2,38,1
vamosadecirquesi,LAS,3,4,3,3,2,3,3,3,3,4,5,2,38,1
JT 01,LAS,1,3,3,2,3,3,3,3,3,4,3,3,36,1
ComidaDelFuturo氣,ATEN,3,3,4,4,4,4,2,4,2,2,2,1,25,0
Giann,LATAM,4,3,4,2,2,2,5,2,4,4,2,5,45,1
Vyak,LAS,2,3,4,4,3,4,1,3,2,1,3,1,25,0
xHoneyFish,CHL,2,5,4,4,4,5,1,3,2,1,2,1,20,0
Jarthar,LAS,2,2,4,4,4,5,1,3,3,2,1,4,27,0
Vayne player 1,LAS,3,3,4,3,3,2,5,2,2,2,4,4,39,1
darling,zzz,1,3,3,4,3,2,1,5,2,3,3,3,29,0
LKING,MH1,4,3,2,3,2,3,2,4,3,3,1,3,35,0
SuruyoDelSodimac,LAS,1,5,5,4,4,5,2,3,3,1,2,3,22,0
SebastianMR,2404,2,3,4,3,4,5,2,5,1,1,2,2,22,0
daegu,LAS,3,4,3,4,1,5,2,1,3,3,2,5,36,1
Intss,LAS,1,5,4,5,2,3,2,5,3,2,2,4,26,0
BlackModerm10,0000,2,5,5,5,5,5,1,4,2,2,2,1,17,0
S1m0n,2277,2,5,2,4,4,4,2,5,1,3,2,3,25,0
Shamta,LAS,2,4,4,4,5,5,1,4,1,1,2,1,18,0
Dr Tommy,Crybb,4,4,1,5,2,2,3,2,4,4,2,3,40,1
Nav,210,2,4,4,4,5,5,1,5,3,1,3,2,21,0
TheBoss,T3tas,2,3,3,3,2,3,3,2,3,2,3,5,38,1
selfless,pain,1,4,4,2,4,4,2,4,3,2,3,3,28,0
SOS RE WACHINN,LAS,3,3,2,2,3,3,2,4,3,3,4,2,36,1
Kab,DUHR,1,4,4,5,5,4,2,2,1,1,2,3,22,0
Labubu,1251,4,4,3,4,4,4,5,3,2,2,4,4,35,0
Hustlee Hard 304,304,4,2,1,3,1,2,4,2,5,4,5,2,49,1
BABOSA,lmao,2,5,4,4,4,4,2,4,2,2,2,2,23,0
NoWitness,CBA,2,4,5,5,5,5,1,3,1,2,2,2,19,0
taitun,LAS,4,4,4,4,4,4,3,3,2,2,2,2,28,0
Creeping Derp,LAS,1,4,3,5,4,4,1,5,3,1,3,1,21,0
jordi el tulachi,LAS,4,1,3,1,3,1,5,1,4,3,4,4,50,1
Uri,Uri27,1,5,4,5,4,4,2,4,1,1,1,1,17,0
Tutesc,EDLP,2,4,4,4,4,3,3,3,3,4,1,1,28,0
Juego con la 10,VAJ,3,3,2,3,5,3,4,2,3,4,3,2,37,1
Patroler,111,2,4,5,5,5,5,1,5,1,2,2,2,17,0
Josedeoro,RECA,1,3,5,5,5,4,1,5,1,3,1,2,18,0
chinoo,1200,4,3,3,4,3,4,3,2,3,2,4,1,34,0
maidenless,SAPEE,5,3,3,1,2,3,4,3,2,4,3,2,41,1
elSeba11Xx,LAS,2,3,4,3,4,2,3,3,2,3,3,4,34,0
SeeYouSoon,1800,3,2,3,2,2,3,3,4,4,2,3,2,37,1
CarpinchoGoD,LAS,4,3,1,4,2,1,2,2,3,3,4,5,44,1
TomPlatz,0000,2,5,4,5,5,3,2,5,2,1,2,1,19,0
FRAN MAIRA,3331,1,5,2,5,5,4,1,5,1,1,1,2,17,0
Neurus,LAS,1,5,3,3,5,4,2,5,3,2,1,2,22,0
EuLeK,LAS,4,4,3,4,3,3,2,2,4,5,2,3,37,1
Pappers,LAS,4,3,4,2,2,2,3,3,3,3,2,4,39,1
KillVMaim,IDFC,5,3,3,3,2,3,4,1,2,4,4,5,45,1
pancito36,4437,2,4,5,5,5,5,1,4,1,1,1,1,15,0
tki44,222,2,4,4,4,3,5,2,4,2,1,3,3,25,0
alan2pac,LAS,2,4,4,3,3,3,3,3,3,2,2,3,31,0
Aeternum,LAS,1,5,3,5,3,4,3,5,1,1,2,1,20,0
Nomacitax,0069,3,3,4,4,4,3,3,4,1,2,2,3,28,0
melvin,waos,2,3,4,2,2,5,3,3,4,3,3,2,34,0
Respawn Love,LAS,2,4,5,4,4,2,2,3,2,2,4,4,30,0
KrawLee,1997,4,4,4,3,2,3,3,4,2,3,2,3,33,0
frN,0202,2,4,5,3,4,4,1,4,1,1,2,2,21,0
Chrollo Lucifer,HxH1,2,2,4,4,4,4,4,3,4,3,3,3,34,0
Ragnar Lodbrok,VLH,2,4,5,5,5,5,1,4,1,2,1,3,18,0
imMonster,LAS,3,2,3,3,3,2,3,2,4,4,2,5,42,1
Marveliano,UCM,1,5,5,4,3,4,1,5,2,2,2,1,19,0
almostdead,lllll,3,4,5,3,3,3,2,4,3,2,2,3,29,0
TostadiitaOP,Jesi,1,3,3,5,3,5,3,5,3,2,2,2,25,0
pudrete616,LAS,3,3,3,3,2,4,3,4,2,2,3,3,33,0
Rosetta,Lyor,2,3,3,2,3,2,2,3,3,3,2,3,35,0
ComeToM,LAS,1,4,5,5,4,3,1,4,2,2,2,2,21,0
VladSuo,CR7,4,2,2,5,3,4,2,3,3,1,2,3,32,0
Khada jhin LIBRA,jhin4,2,3,4,5,4,4,1,3,3,2,2,2,25,0
Nagumo Hajime,LAS,4,2,2,3,3,2,4,2,4,5,5,3,47,1
Labix,Goat,1,4,4,2,4,4,4,5,2,2,2,2,26,0
Zheva,LAS,2,2,4,2,4,3,3,5,2,1,1,3,28,0
Koreback,LAS,2,5,5,4,4,4,2,4,1,1,1,2,19,0
Ðarkîn bøw,GoNxt,4,1,1,1,1,1,5,3,4,5,4,5,55,1
Mikel,SEEEX,2,2,3,5,3,4,2,3,2,2,2,2,28,0
Little Bandido,LAS,2,4,5,4,4,5,1,5,1,2,3,2,20,0
KNONIMO EL FURIA,LAS,3,5,5,3,4,3,2,5,1,1,2,2,22,0
PesoPesado95,LAS,4,4,2,2,2,2,4,2,4,5,2,5,46,1
Sv3n,LAS,5,3,2,1,2,3,3,2,4,4,4,5,48,1
ZOYN,LAS,1,4,5,3,4,3,1,4,1,3,2,3,24,0
Avril,UwU,1,5,3,5,5,5,1,4,2,1,2,1,17,0
space cowboy,3194,2,3,3,3,2,5,3,4,2,3,3,2,31,0
Pulga De Warwick,00001,3,3,4,3,4,1,3,3,2,3,3,3,35,0
Ckotooh,LAS,3,3,2,3,4,3,1,3,2,3,3,3,33,0
Doryani,POET,4,1,2,3,1,2,4,1,4,3,4,4,49,1
Tenshi No Shi,LAS,4,3,4,5,4,5,2,3,1,2,2,3,26,0
BLACK CAT,PIZZA,2,3,2,3,2,3,3,4,3,2,1,1,31,0
Yusah,LAS,1,4,3,5,4,5,2,4,2,1,2,3,22,0
RodriDraco,LAS,3,2,5,4,3,4,3,4,3,4,2,3,32,0
Girl is a gun,LAS,3,4,3,3,5,3,3,4,1,2,3,3,29,0
Elfaria,1355,2,4,5,4,4,5,1,5,1,2,1,2,18,0
Wifelershow,7458,4,2,2,2,2,1,3,3,3,4,1,3,42,1
TwilightShade,LAS,3,2,3,2,3,4,2,2,4,3,4,3,39,1
detructor444,LAS,4,3,4,4,4,3,2,3,3,3,3,2,32,0
puro ks,002,1,4,4,4,3,4,1,3,1,2,3,3,25,0
Swain KFC,COMBO,1,4,5,4,4,3,2,4,2,3,2,1,23,0
差异顶部,ASR,4,3,4,3,4,3,5,3,2,3,2,3,35,0
Ecch,LAS,2,4,5,4,4,2,3,3,2,1,2,2,26,0
D4rK Asassin,LAS,2,3,5,3,5,4,1,5,2,2,1,2,21,0
Luis Yeager,LAS,1,5,4,5,5,5,1,4,1,2,2,3,18,0
Wagyu,LAS,5,3,4,2,4,3,3,3,3,2,2,2,34,0
BRG Velois,CEL,2,5,3,4,5,5,2,2,3,2,2,3,26,0
kclak,LAS,1,5,5,4,4,4,2,5,1,3,2,1,19,0
Sir Friijooliito,sera,1,5,4,4,5,5,1,4,2,2,3,1,19,0
ivvo18,LAS,3,3,3,3,2,2,5,3,3,3,4,4,42,1
T1 DradKhan,SKT,3,2,4,3,2,1,4,3,4,5,2,3,42,1
ƒiuroxy,loveu,1,5,4,4,5,5,1,5,2,1,1,1,15,0
MeDeprimoFacil,uwu,1,5,5,5,4,4,1,5,2,2,2,2,18,0
hip0frenia,LAS,2,2,3,3,2,4,3,3,3,3,3,4,37,1
未来の音,1999,2,4,4,3,3,5,2,4,2,1,2,2,24,0
Black Ivy,505,4,3,2,3,3,1,4,2,3,4,4,5,46,1
Yuta Okkotsu,5805,3,2,2,3,1,2,2,5,3,3,3,3,38,1
EntrandoEnEsa,LAS,2,2,4,4,4,4,2,4,2,2,1,2,25,0
eL Dany DT,LAS,3,3,4,5,3,3,4,3,3,3,3,3,34,0
Lucky 38,Luck7,5,4,3,2,4,2,3,4,3,4,4,5,41,1
Black Insomnia,0589,5,1,1,1,3,1,3,2,4,5,4,3,51,1
juansethekof,LOS,1,3,5,5,4,5,1,3,2,2,1,3,21,0
Белая смерть,АРГ,2,3,3,3,2,2,3,3,4,2,2,3,36,1
C13 Damz,LAS,4,3,4,4,4,4,3,3,3,3,4,2,33,0
c a r ö l i n a,ARS,4,3,4,4,3,3,3,5,2,4,3,2,32,0
Eifeldor,LAS,1,4,5,4,4,4,1,5,2,2,2,2,20,0
Andreik99,999,3,4,4,4,3,3,2,5,2,2,3,3,28,0
jodipe,Ahri,2,5,5,5,4,5,1,3,1,1,1,1,16,0
SQUANCHØ,LAS,4,4,2,2,2,3,3,5,2,2,2,3,34,0
AlterMitico,Novus,4,3,2,3,2,4,3,3,3,3,3,3,38,1
DAO FUTURE,LAS,2,5,5,4,4,5,2,5,1,2,1,1,17,0
yiyawosao,LAS,3,3,3,4,4,3,1,4,3,4,3,3,32,0
CSSML NDSML,kahoz,1,4,3,3,4,4,3,4,3,2,2,2,27,0
Zaikologic,Zaik,2,3,4,4,4,4,1,4,2,1,2,2,23,0
qdanm,hiim,2,3,4,3,3,1,4,4,3,3,2,2,34,0
OMG Ken,LAS,1,4,4,4,4,5,1,5,3,3,3,1,22,0
aKaiRe,LAS,1,4,5,5,5,5,2,4,1,1,1,1,15,0
Emahtz,LAS,3,3,4,4,4,3,2,2,3,3,2,3,32,0
puckeffideb,LAS,3,2,2,3,5,4,2,4,2,3,2,3,31,0
Come Around Me,diazk,3,3,3,4,5,5,1,2,4,3,4,2,31,0
NeuraNura,Brem,2,5,4,5,5,5,1,4,2,1,1,3,18,0
xWarRx,LAS,2,4,4,5,5,5,1,5,2,3,1,2,19,0
Jaskisceviciuss,LAS,4,1,2,3,2,1,5,1,5,5,4,4,53,1
Don Titi,LAS,2,4,5,4,5,4,3,3,2,2,1,3,24,0
SOD Un Oso Wacho,9543,1,5,5,5,5,4,2,5,2,2,1,2,17,0
Ziggsmund Freud,PANDI,2,4,3,5,4,5,2,5,2,3,3,3,25,0
Rook Gendarmerie,LAS,1,5,2,3,4,5,1,4,2,2,1,1,21,0
Tea Lover,gkrmp,2,3,5,3,5,4,2,4,2,1,2,3,24,0
chérie lueur,maia,2,4,4,5,4,4,2,5,3,2,2,4,25,0
IIIIIIIIIIIII,8413,1,4,5,5,4,5,1,5,1,2,2,1,16,0
AlanBritoDl,LAS,3,4,3,4,3,2,1,3,1,3,3,3,31,0
jeshuco,777,2,5,3,5,3,4,2,4,2,1,1,2,22,0
zun,TLUCH,2,4,4,4,3,4,3,4,1,4,1,4,28,0
R Inst,8092,3,5,4,4,4,4,2,3,2,1,2,2,24,0
Sephiroth,SSSSS,2,5,5,4,5,5,1,5,2,1,2,3,18,0
