Usuario,Tag,THT,ND,TPP,HPD,NPPD,DCJ,Riesgo
Syn_Al_0093,SYN,34.93,8,69,4.37,8.62,8,Alto
Syn_Al_0094,SYN,27.07,7,69,3.87,9.86,7,Alto
Syn_Al_0095,SYN,40.02,7,66,5.72,9.43,6,Alto
Syn_Al_0096,SYN,36.27,6,50,6.05,8.33,6,Alto
Syn_Al_0097,SYN,29.76,4,37,7.44,9.25,4,Alto
Syn_Al_0098,SYN,57.86,10,89,5.79,8.9,9,Alto
Syn_Al_0099,SYN,55.22,10,85,5.52,8.5,9,Alto
Syn_Al_0100,SYN,25.14,7,64,3.59,9.14,6,Alto
Syn_Al_0101,SYN,36.96,6,65,6.16,10.83,6,Alto
Syn_Al_0102,SYN,63.25,10,93,6.33,9.3,10,Alto
Syn_Al_0103,SYN,48.67,8,75,6.08,9.38,7,Alto
Syn_Al_0104,SYN,47.92,8,70,5.99,8.75,7,Alto
Syn_Al_0105,SYN,51.26,8,81,6.41,10.12,8,Alto
Syn_Al_0106,SYN,44.69,9,84,4.97,9.33,8,Alto
Syn_Al_0107,SYN,33.85,6,56,5.64,9.33,5,Alto
Syn_Al_0108,SYN,29.51,6,59,4.92,9.83,6,Alto
Syn_Al_0109,SYN,44.4,8,82,5.55,10.25,7,Alto
Syn_Al_0110,SYN,27.38,5,51,5.48,10.2,5,Alto
Syn_Al_0111,SYN,30.71,7,56,4.39,8.0,6,Alto
Syn_Al_0112,SYN,45.84,8,79,5.73,9.88,7,Alto
Syn_Al_0113,SYN,56.84,10,91,5.68,9.1,9,Alto
Syn_Al_0114,SYN,57.19,9,69,6.35,7.67,9,Alto
Syn_Al_0115,SYN,42.59,6,67,7.1,11.17,5,Alto
Syn_Al_0116,SYN,36.3,5,55,7.26,11.0,5,Alto
Syn_Al_0117,SYN,43.85,9,69,4.87,7.67,9,Alto
Syn_Al_0118,SYN,72.52,11,90,6.59,8.18,10,Alto
Syn_Al_0119,SYN,24.57,7,54,3.51,7.71,7,Alto
Syn_Al_0120,SYN,65.04,10,95,6.5,9.5,9,Alto
Syn_Al_0121,SYN,43.69,9,78,4.85,8.67,9,Alto
Syn_Al_0122,SYN,30.13,5,50,6.03,10.0,4,Alto
Syn_Al_0123,SYN,33.17,5,47,6.63,9.4,4,Alto
Syn_Al_0124,SYN,55.38,10,77,5.54,7.7,10,Alto
Syn_Al_0125,SYN,29.34,4,43,7.33,10.75,4,Alto
Syn_Al_0126,SYN,56.7,10,92,5.67,9.2,9,Alto
Syn_Al_0127,SYN,68.73,11,95,6.25,8.64,10,Alto
Syn_Al_0128,SYN,42.08,7,62,6.01,8.86,7,Alto
Syn_Al_0129,SYN,33.32,7,56,4.76,8.0,7,Alto
Syn_Al_0130,SYN,59.36,11,104,5.4,9.45,10,Alto
Syn_Al_0131,SYN,55.76,10,95,5.58,9.5,9,Alto
Syn_Al_0132,SYN,40.06,8,71,5.01,8.88,7,Alto
Syn_Al_0133,SYN,45.64,7,64,6.52,9.14,7,Alto
Syn_Al_0134,SYN,56.52,10,104,5.65,10.4,10,Alto
Syn_Al_0135,SYN,41.11,6,53,6.85,8.83,5,Alto
Syn_Al_0136,SYN,26.77,5,49,5.35,9.8,5,Alto
Syn_Al_0137,SYN,31.35,5,47,6.27,9.4,4,Alto
Syn_Al_0138,SYN,34.66,5,46,6.93,9.2,4,Alto
Syn_Al_0139,SYN,43.29,6,58,7.21,9.67,5,Alto
Syn_Al_0140,SYN,34.31,7,52,4.9,7.43,6,Alto
Syn_Al_0141,SYN,25.68,7,64,3.67,9.14,6,Alto
Syn_Al_0142,SYN,60.71,9,98,6.75,10.89,8,Alto
Syn_Al_0143,SYN,34.04,5,60,6.81,12.0,5,Alto
Syn_Al_0144,SYN,28.44,4,39,7.11,9.75,4,Alto
Syn_Al_0145,SYN,34.85,9,81,3.87,9.0,9,Alto
Syn_Al_0146,SYN,42.85,8,62,5.36,7.75,8,Alto
Syn_Al_0147,SYN,55.71,10,93,5.57,9.3,10,Alto
Syn_Al_0148,SYN,53.54,8,73,6.69,9.12,8,Alto
Syn_Al_0149,SYN,35.73,8,68,4.47,8.5,7,Alto
Syn_Al_0150,SYN,55.64,8,87,6.96,10.88,7,Alto
Syn_Al_0151,SYN,21.9,4,39,5.47,9.75,4,Alto
Syn_Al_0152,SYN,36.96,5,42,7.39,8.4,4,Alto
Syn_Al_0153,SYN,25.63,7,61,3.66,8.71,6,Alto
Syn_Al_0154,SYN,25.28,6,56,4.21,9.33,6,Alto
Syn_Al_0155,SYN,34.01,5,44,6.8,8.8,5,Alto
Syn_Al_0156,SYN,23.98,4,42,6.0,10.5,4,Alto
Syn_Al_0157,SYN,39.1,7,65,5.59,9.29,6,Alto
Syn_Al_0158,SYN,65.44,10,77,6.54,7.7,9,Alto
Syn_Al_0159,SYN,43.89,7,61,6.27,8.71,7,Alto
Syn_Al_0160,SYN,48.81,7,67,6.97,9.57,6,Alto
Syn_Al_0161,SYN,41.01,7,70,5.86,10.0,7,Alto
Syn_Al_0162,SYN,42.53,7,59,6.08,8.43,7,Alto
Syn_Al_0163,SYN,50.49,9,80,5.61,8.89,8,Alto
Syn_Al_0164,SYN,44.42,6,62,7.4,10.33,5,Alto
Syn_Al_0165,SYN,53.45,8,83,6.68,10.38,8,Alto
Syn_Al_0166,SYN,51.13,9,86,5.68,9.56,8,Alto
Syn_Al_0167,SYN,46.15,7,61,6.59,8.71,6,Alto
Syn_Al_0168,SYN,72.14,11,97,6.56,8.82,10,Alto
Syn_Al_0169,SYN,40.1,6,64,6.68,10.67,5,Alto
Syn_Al_0170,SYN,66.61,10,75,6.66,7.5,10,Alto
Syn_Al_0171,SYN,21.96,4,43,5.49,10.75,4,Alto
Syn_Al_0172,SYN,26.84,4,38,6.71,9.5,4,Alto
Syn_Al_0173,SYN,40.39,6,53,6.73,8.83,6,Alto
Syn_Al_0174,SYN,41.34,7,68,5.91,9.71,7,Alto
Syn_Al_0175,SYN,40.38,6,51,6.73,8.5,6,Alto
Syn_Al_0176,SYN,50.42,8,60,6.3,7.5,7,Alto
Syn_Al_0177,SYN,41.5,6,70,6.92,11.67,5,Alto
Syn_Al_0178,SYN,62.73,10,78,6.27,7.8,10,Alto
Syn_Al_0179,SYN,35.46,9,81,3.94,9.0,9,Alto
Syn_Al_0180,SYN,56.27,9,71,6.25,7.89,8,Alto
Syn_Al_0181,SYN,36.15,5,48,7.23,9.6,4,Alto
Syn_Al_0182,SYN,58.2,10,110,5.82,11.0,10,Alto
Syn_Al_0183,SYN,32.99,5,44,6.6,8.8,4,Alto
Syn_Al_0184,SYN,40.37,7,74,5.77,10.57,7,Alto
Syn_Al_0185,SYN,29.18,7,63,4.17,9.0,6,Alto
Syn_Al_0186,SYN,49.13,10,92,4.91,9.2,9,Alto
Syn_Al_0187,SYN,47.45,8,74,5.93,9.25,7,Alto
Syn_Al_0188,SYN,32.3,5,45,6.46,9.0,4,Alto
Syn_Al_0189,SYN,41.01,7,56,5.86,8.0,6,Alto
Syn_Al_0190,SYN,36.89,10,85,3.69,8.5,9,Alto
Syn_Al_0191,SYN,27.4,5,59,5.48,11.8,4,Alto
Syn_Al_0192,SYN,52.83,9,96,5.87,10.67,9,Alto
Syn_Al_0193,SYN,30.92,7,67,4.42,9.57,7,Alto
Syn_Al_0194,SYN,46.75,8,84,5.84,10.5,8,Alto
Syn_Al_0195,SYN,58.56,10,105,5.86,10.5,10,Alto
Syn_Al_0196,SYN,30.13,5,43,6.03,8.6,4,Alto
Syn_Al_0197,SYN,28.63,5,42,5.73,8.4,4,Alto
Syn_Al_0198,SYN,32.14,5,57,6.43,11.4,4,Alto
Syn_Al_0199,SYN,32.85,6,61,5.48,10.17,5,Alto
Syn_Al_0200,SYN,48.96,10,76,4.9,7.6,9,Alto
Syn_Al_0201,SYN,42.29,9,84,4.7,9.33,9,Alto
Syn_Al_0202,SYN,52.17,9,97,5.8,10.78,9,Alto
Syn_Al_0203,SYN,41.87,7,75,5.98,10.71,6,Alto
Syn_Al_0204,SYN,63.19,10,100,6.32,10.0,10,Alto
Syn_Al_0205,SYN,43.96,10,74,4.4,7.4,9,Alto
Syn_Al_0206,SYN,28.07,4,34,7.02,8.5,4,Alto
Syn_Al_0207,SYN,41.44,6,56,6.91,9.33,5,Alto
Syn_Al_0208,SYN,41.69,7,57,5.96,8.14,7,Alto
Syn_Al_0209,SYN,47.47,10,99,4.75,9.9,9,Alto
Syn_Al_0210,SYN,36.04,6,71,6.01,11.83,5,Alto
Syn_Al_0211,SYN,32.75,8,72,4.09,9.0,7,Alto
Syn_Al_0212,SYN,39.26,10,88,3.93,8.8,9,Alto
Syn_Al_0213,SYN,42.4,9,69,4.71,7.67,9,Alto
Syn_Al_0214,SYN,32.62,7,64,4.66,9.14,6,Alto
Syn_Al_0215,SYN,32.46,5,53,6.49,10.6,5,Alto
Syn_Al_0216,SYN,45.66,7,55,6.52,7.86,6,Alto
Syn_Al_0217,SYN,35.47,5,43,7.09,8.6,5,Alto
Syn_Al_0218,SYN,53.62,8,70,6.7,8.75,8,Alto
Syn_Al_0219,SYN,22.05,6,47,3.68,7.83,6,Alto
Syn_Al_0220,SYN,22.58,4,37,5.64,9.25,4,Alto
Syn_Al_0221,SYN,75.92,11,94,6.9,8.55,10,Alto
Syn_Al_0222,SYN,46.09,7,72,6.58,10.29,7,Alto
Syn_Al_0223,SYN,63.67,11,88,5.79,8.0,10,Alto
Syn_Al_0224,SYN,35.88,5,43,7.18,8.6,5,Alto
Syn_Al_0225,SYN,52.63,8,62,6.58,7.75,7,Alto
Syn_Al_0226,SYN,29.45,7,54,4.21,7.71,6,Alto
Syn_Al_0227,SYN,26.73,5,56,5.35,11.2,4,Alto
Syn_Al_0228,SYN,55.02,10,91,5.5,9.1,9,Alto
Syn_Al_0229,SYN,38.49,7,70,5.5,10.0,7,Alto
Syn_Al_0230,SYN,52.14,8,78,6.52,9.75,8,Alto
Syn_Al_0231,SYN,47.8,10,96,4.78,9.6,9,Alto
Syn_Al_0232,SYN,49.19,9,70,5.47,7.78,8,Alto
Syn_Al_0233,SYN,29.66,5,57,5.93,11.4,5,Alto
Syn_Al_0234,SYN,36.22,5,56,7.24,11.2,4,Alto
Syn_Me_0001,SYN,26.35,7,36,3.76,5.14,5,Medio
Syn_Me_0002,SYN,47.7,14,83,3.41,5.93,5,Medio
Syn_Me_0003,SYN,32.08,9,55,3.56,6.11,4,Medio
Syn_Me_0004,SYN,26.49,9,73,2.94,8.11,4,Medio
Syn_Me_0005,SYN,32.28,9,49,3.59,5.44,6,Medio
Syn_Me_0006,SYN,30.01,7,53,4.29,7.57,2,Medio
Syn_Me_0007,SYN,54.46,14,71,3.89,5.07,5,Medio
Syn_Me_0008,SYN,43.98,13,72,3.38,5.54,4,Medio
Syn_Me_0009,SYN,59.27,15,89,3.95,5.93,7,Medio
Syn_Me_0010,SYN,51.79,13,109,3.98,8.38,2,Medio
Syn_Me_0011,SYN,31.12,13,109,2.39,8.38,5,Medio
Syn_Me_0012,SYN,40.76,13,81,3.14,6.23,6,Medio
Syn_Me_0013,SYN,36.99,10,60,3.7,6.0,6,Medio
Syn_Me_0014,SYN,36.03,11,61,3.28,5.55,5,Medio
Syn_Me_0015,SYN,59.88,14,103,4.28,7.36,2,Medio
Syn_Me_0016,SYN,11.69,7,56,1.67,8.0,4,Medio
Syn_Me_0017,SYN,23.61,7,37,3.37,5.29,7,Medio
Syn_Me_0018,SYN,48.19,13,81,3.71,6.23,6,Medio
Syn_Me_0019,SYN,15.95,9,64,1.77,7.11,5,Medio
Syn_Me_0020,SYN,27.48,9,45,3.05,5.0,7,Medio
Syn_Me_0021,SYN,51.53,15,67,3.44,4.47,5,Medio
Syn_Me_0022,SYN,30.8,9,59,3.42,6.56,4,Medio
Syn_Me_0023,SYN,22.05,12,100,1.84,8.33,4,Medio
Syn_Me_0024,SYN,43.45,12,98,3.62,8.17,2,Medio
Syn_Me_0025,SYN,49.93,15,70,3.33,4.67,6,Medio
Syn_Me_0026,SYN,40.19,11,59,3.65,5.36,4,Medio
Syn_Me_0027,SYN,16.77,5,37,3.35,7.4,1,Medio
Syn_Me_0028,SYN,13.97,7,54,2.0,7.71,4,Medio
Syn_Me_0029,SYN,58.84,15,87,3.92,5.8,4,Medio
Syn_Me_0030,SYN,39.96,11,60,3.63,5.45,4,Medio
Syn_Me_0031,SYN,8.8,4,33,2.2,8.25,4,Medio
Syn_Me_0032,SYN,51.6,12,65,4.3,5.42,5,Medio
Syn_Me_0033,SYN,46.36,13,66,3.57,5.08,5,Medio
Syn_Me_0034,SYN,16.98,4,21,4.25,5.25,4,Medio
Syn_Me_0035,SYN,42.76,11,86,3.89,7.82,3,Medio
Syn_Me_0036,SYN,31.55,13,93,2.43,7.15,5,Medio
Syn_Me_0037,SYN,48.53,11,65,4.41,5.91,4,Medio
Syn_Me_0038,SYN,10.66,6,45,1.78,7.5,4,Medio
Syn_Me_0039,SYN,45.25,12,58,3.77,4.83,7,Medio
Syn_Me_0040,SYN,14.36,3,22,4.79,7.33,2,Medio
Syn_Me_0041,SYN,20.21,6,51,3.37,8.5,1,Medio
Syn_Me_0042,SYN,13.78,3,26,4.59,8.67,3,Medio
Syn_Me_0043,SYN,47.51,12,68,3.96,5.67,5,Medio
Syn_Me_0044,SYN,61.62,14,77,4.4,5.5,5,Medio
Syn_Me_0045,SYN,38.75,10,63,3.88,6.3,4,Medio
Syn_Me_0046,SYN,47.51,11,68,4.32,6.18,5,Medio
Syn_Me_0047,SYN,57.07,15,117,3.8,7.8,3,Medio
Syn_Me_0048,SYN,45.66,12,60,3.8,5.0,5,Medio
Syn_Me_0049,SYN,36.98,9,52,4.11,5.78,4,Medio
Syn_Me_0050,SYN,54.17,13,82,4.17,6.31,7,Medio
Syn_Me_0051,SYN,53.49,14,79,3.82,5.64,5,Medio
Syn_Me_0052,SYN,25.71,6,37,4.29,6.17,6,Medio
Syn_Me_0053,SYN,22.11,7,45,3.16,6.43,6,Medio
Syn_Me_0054,SYN,18.73,5,26,3.75,5.2,4,Medio
Syn_Me_0055,SYN,25.74,8,45,3.22,5.62,5,Medio
Syn_Me_0056,SYN,26.63,8,49,3.33,6.12,6,Medio
Syn_Me_0057,SYN,36.13,14,109,2.58,7.79,4,Medio
Syn_Me_0058,SYN,21.18,6,33,3.53,5.5,5,Medio
Syn_Me_0059,SYN,28.64,9,41,3.18,4.56,6,Medio
Syn_Me_0060,SYN,13.62,9,65,1.51,7.22,5,Medio
Syn_Me_0061,SYN,24.31,6,27,4.05,4.5,4,Medio
Syn_Me_0062,SYN,13.87,8,61,1.73,7.62,5,Medio
Syn_Me_0063,SYN,41.12,12,70,3.43,5.83,4,Medio
Syn_Me_0064,SYN,27.31,8,61,3.41,7.62,2,Medio
Syn_Me_0065,SYN,62.93,15,75,4.2,5.0,4,Medio
Syn_Me_0066,SYN,29.71,7,41,4.24,5.86,5,Medio
Syn_Me_0067,SYN,22.83,7,41,3.26,5.86,4,Medio
Syn_Me_0068,SYN,28.57,8,46,3.57,5.75,4,Medio
Syn_Me_0069,SYN,42.77,9,72,4.75,8.0,2,Medio
Syn_Me_0070,SYN,37.41,13,93,2.88,7.15,4,Medio
Syn_Me_0071,SYN,34.45,12,97,2.87,8.08,5,Medio
Syn_Me_0072,SYN,39.22,12,63,3.27,5.25,5,Medio
Syn_Me_0073,SYN,40.87,11,93,3.72,8.45,1,Medio
Syn_Me_0074,SYN,22.0,12,99,1.83,8.25,5,Medio
Syn_Me_0075,SYN,44.68,10,87,4.47,8.7,1,Medio
Syn_Me_0076,SYN,36.86,8,69,4.61,8.62,2,Medio
Syn_Me_0077,SYN,16.88,7,50,2.41,7.14,5,Medio
Syn_Me_0078,SYN,64.73,13,95,4.98,7.31,2,Medio
Syn_Me_0079,SYN,36.14,14,103,2.58,7.36,4,Medio
Syn_Me_0080,SYN,19.36,12,90,1.61,7.5,5,Medio
Syn_Me_0081,SYN,48.44,14,74,3.46,5.29,6,Medio
Syn_Me_0082,SYN,47.71,12,59,3.98,4.92,5,Medio
Syn_Me_0083,SYN,43.74,13,75,3.36,5.77,6,Medio
Syn_Me_0084,SYN,38.64,14,113,2.76,8.07,5,Medio
Syn_Me_0085,SYN,47.7,11,59,4.34,5.36,6,Medio
Syn_Me_0086,SYN,27.72,8,39,3.46,4.88,5,Medio
Syn_Me_0087,SYN,35.64,9,41,3.96,4.56,4,Medio
Syn_Me_0088,SYN,36.91,11,63,3.36,5.73,6,Medio
Syn_Me_0089,SYN,20.91,5,24,4.18,4.8,5,Medio
Syn_Me_0090,SYN,48.17,12,68,4.01,5.67,5,Medio
Syn_Me_0091,SYN,19.65,6,35,3.27,5.83,5,Medio
Syn_Me_0092,SYN,52.54,12,107,4.38,8.92,3,Medio
Syn_Me_0093,SYN,20.25,9,73,2.25,8.11,4,Medio
Syn_Me_0094,SYN,35.99,13,105,2.77,8.08,4,Medio
Syn_Me_0095,SYN,37.16,10,46,3.72,4.6,4,Medio
Syn_Me_0096,SYN,28.68,7,45,4.1,6.43,6,Medio
Syn_Me_0097,SYN,27.72,7,34,3.96,4.86,7,Medio
Syn_Me_0098,SYN,34.93,8,66,4.37,8.25,1,Medio
Syn_Me_0099,SYN,25.36,7,37,3.62,5.29,7,Medio
Syn_Me_0100,SYN,37.98,9,56,4.22,6.22,6,Medio
Syn_Me_0101,SYN,48.62,14,105,3.47,7.5,3,Medio
Syn_Me_0102,SYN,71.08,15,116,4.74,7.73,2,Medio
Syn_Me_0103,SYN,36.0,9,77,4.0,8.56,1,Medio
Syn_Me_0104,SYN,38.55,11,60,3.5,5.45,5,Medio
Syn_Me_0105,SYN,72.67,15,118,4.84,7.87,1,Medio
Syn_Me_0106,SYN,18.99,4,30,4.75,7.5,1,Medio
Syn_Me_0107,SYN,59.54,15,132,3.97,8.8,3,Medio
Syn_Me_0108,SYN,16.98,9,76,1.89,8.44,4,Medio
Syn_Me_0109,SYN,30.89,8,51,3.86,6.38,5,Medio
Syn_Me_0110,SYN,48.57,14,107,3.47,7.64,3,Medio
Syn_Me_0111,SYN,49.15,13,61,3.78,4.69,5,Medio
Syn_Me_0112,SYN,19.9,12,99,1.66,8.25,5,Medio
Syn_Me_0113,SYN,47.82,13,62,3.68,4.77,5,Medio
Syn_Me_0114,SYN,47.77,15,73,3.18,4.87,6,Medio
Syn_Me_0115,SYN,36.79,13,107,2.83,8.23,5,Medio
Syn_Me_0116,SYN,31.59,9,43,3.51,4.78,4,Medio
Syn_Me_0117,SYN,25.3,6,34,4.22,5.67,6,Medio
Syn_Me_0118,SYN,30.03,9,51,3.34,5.67,4,Medio
Syn_Me_0119,SYN,20.39,6,38,3.4,6.33,4,Medio
Syn_Me_0120,SYN,11.27,4,31,2.82,7.75,4,Medio
Syn_Me_0121,SYN,55.75,15,86,3.72,5.73,7,Medio
Syn_Me_0122,SYN,44.58,10,49,4.46,4.9,5,Medio
Syn_Me_0123,SYN,20.39,5,38,4.08,7.6,1,Medio
Syn_Me_0124,SYN,53.29,13,75,4.1,5.77,7,Medio
Syn_Me_0125,SYN,34.38,11,60,3.13,5.45,7,Medio
Syn_Me_0126,SYN,41.55,11,54,3.78,4.91,4,Medio
Syn_Me_0127,SYN,41.02,11,53,3.73,4.82,4,Medio
Syn_Me_0128,SYN,20.77,10,79,2.08,7.9,4,Medio
Syn_Me_0129,SYN,36.07,12,51,3.01,4.25,7,Medio
Syn_Me_0130,SYN,68.05,14,105,4.86,7.5,2,Medio
Syn_Me_0131,SYN,16.32,4,22,4.08,5.5,4,Medio
Syn_Me_0132,SYN,22.15,5,22,4.43,4.4,5,Medio
Syn_Me_0133,SYN,19.18,4,34,4.79,8.5,1,Medio
Syn_Me_0134,SYN,14.29,3,22,4.76,7.33,1,Medio
Syn_Me_0135,SYN,31.08,8,66,3.88,8.25,1,Medio
Syn_Me_0136,SYN,14.78,6,47,2.46,7.83,4,Medio
Syn_Me_0137,SYN,26.81,6,35,4.47,5.83,4,Medio
Syn_Me_0138,SYN,48.33,14,87,3.45,6.21,5,Medio
Syn_Me_0139,SYN,26.18,13,92,2.01,7.08,5,Medio
Syn_Me_0140,SYN,30.64,8,41,3.83,5.12,5,Medio
Syn_Me_0141,SYN,16.67,4,20,4.17,5.0,4,Medio
Syn_Me_0142,SYN,29.63,9,53,3.29,5.89,4,Medio
Syn_Me_0143,SYN,51.48,12,72,4.29,6.0,5,Medio
Syn_Me_0144,SYN,34.54,10,59,3.45,5.9,6,Medio
Syn_Me_0145,SYN,13.23,4,20,3.31,5.0,4,Medio
Syn_Me_0146,SYN,19.18,5,28,3.84,5.6,5,Medio
Syn_Me_0147,SYN,10.36,6,44,1.73,7.33,4,Medio
Syn_Me_0148,SYN,36.73,11,80,3.34,7.27,2,Medio
Syn_Me_0149,SYN,50.62,14,70,3.62,5.0,4,Medio
Syn_Me_0150,SYN,29.99,7,57,4.28,8.14,3,Medio
Syn_Me_0151,SYN,49.35,15,83,3.29,5.53,5,Medio
Syn_Me_0152,SYN,10.78,3,27,3.59,9.0,2,Medio
